Source,Target,Weight,Type
dumas_-_La_San-Felice,_Tome_06,dumas_-_la_San-Felice,_Tome_04,1,undirected
dumas_-_La_San-Felice,_Tome_06,dumas_-_La_San-Felice,_Tome_05,3,undirected
dumas_-_La_tulipe_noire,dumas_-_Le_comte_de_Monte-Cristo,_Tome_IV,1,undirected
dumas_-_La_tulipe_noire,dumas_-_Les_quarante-cinq_—_Tome_3,2,undirected
dumas_-_La_tulipe_noire,dumas_-_The_Count_of_Monte_Cristo,3,undirected
dumas_-_Le_Capitaine_Aréna_—_Tome_1,dumas_-_Georges,3,undirected
dumas_-_Le_Capitaine_Aréna_—_Tome_1,dumas_-_Le_Capitaine_Aréna_—_Tome_2,4,undirected
dumas_-_Le_Capitaine_Aréna_—_Tome_1,dumas_-_Le_corricolo,5,undirected
dumas_-_Le_Capitaine_Aréna_—_Tome_2,dumas_-_Georges,1,undirected
dumas_-_Le_Capitaine_Aréna_—_Tome_2,dumas_-_Le_Capitaine_Aréna_—_Tome_1,4,undirected
dumas_-_Le_Capitaine_Aréna_—_Tome_2,dumas_-_Le_corricolo,2,undirected
dumas_-_Le_Capitaine_Aréna_—_Tome_2,dumas_-_Mémoires_de_Garibaldi,_tome_1,1,undirected
dumas_-_Le_Capitaine_Aréna_—_Tome_2,dumas_-_Mémoires_de_Garibaldi,_tome_2,2,undirected
dumas_-_Le_capitaine_Pamphile,dumas_-_Acté,5,undirected
dumas_-_Le_capitaine_Pamphile,dumas_-_Georges,1,undirected
dumas_-_Le_capitaine_Pamphile,dumas_-_La_San-Felice,_Tome_01,3,undirected
dumas_-_Le_capitaine_Paul,dumas_-_Le_comte_de_Monte-Cristo,_Tome_IV,3,undirected
dumas_-_Le_capitaine_Paul,dumas_-_Pauline_et_Pascal_Bruno,3,undirected
dumas_-_Le_capitaine_Paul,dumas_-_The_Count_of_Monte_Cristo,2,undirected
dumas_-_Le_capitaine_Paul,hugo_-_Han_d'Islande,2,undirected
dumas_-_Le_chevalier_d'Harmental,dumas_-_Histoire_d'un_casse-noisette,2,undirected
dumas_-_Le_chevalier_d'Harmental,dumas_-_Le_comte_de_Moret,1,undirected
dumas_-_Le_chevalier_d'Harmental,dumas_-_Les_trois_mousquetaires,3,undirected
dumas_-_Le_chevalier_d'Harmental,dumas_-_The_Count_of_Monte_Cristo,2,undirected
dumas_-_Le_chevalier_de_Maison-Rouge,dumas_-_La_reine_Margot_-_Tome_I,1,undirected
dumas_-_Le_chevalier_de_Maison-Rouge,dumas_-_Le_comte_de_Monte-Cristo,_Tome_IV,3,undirected
dumas_-_Le_chevalier_de_Maison-Rouge,dumas_-_Les_quarante-cinq_—_Tome_3,4,undirected
dumas_-_Le_Collier_de_la_Reine,_Tome_I,dumas_-_Le_Collier_de_la_Reine,_Tome_II,5,undirected
dumas_-_Le_Collier_de_la_Reine,_Tome_I,dumas_-_Le_vicomte_de_Bragelonne,_Tome_I.,3,undirected
dumas_-_Le_Collier_de_la_Reine,_Tome_I,dumas_-_Les_quarante-cinq_—_Tome_2,1,undirected
dumas_-_Le_Collier_de_la_Reine,_Tome_II,dumas_-_Le_Collier_de_la_Reine,_Tome_I,5,undirected
dumas_-_Le_Collier_de_la_Reine,_Tome_II,dumas_-_Le_vicomte_de_Bragelonne,_Tome_I.,1,undirected
dumas_-_Le_Collier_de_la_Reine,_Tome_II,dumas_-_Le_vicomte_de_Bragelonne,_Tome_IV.,2,undirected
dumas_-_Le_comte_de_Monte-Cristo,_Tome_III,dumas_-_Henri_III_et_sa_Cour,2,undirected
dumas_-_Le_comte_de_Monte-Cristo,_Tome_III,dumas_-_Le_vicomte_de_Bragelonne,_Tome_II.,2,undirected
